	# mut. causing disruption in proto-oncogene sites	# unique proto-oncogenes mutated, causing disruptions
hsa-miR-4666b	6	5
hsa-miR-4665-3p	6	3
hsa-miR-558	6	3
hsa-miR-5580-3p	6	3
hsa-miR-873-5p	6	5
hsa-miR-5583-3p	6	4
hsa-miR-676-5p	6	3
hsa-miR-516b-3p	6	3
hsa-miR-4694-5p	6	2
hsa-miR-548ad	6	3
hsa-miR-4736	6	5
hsa-miR-450b-3p	6	4
hsa-miR-5008-3p	6	4
hsa-miR-627	6	3
hsa-miR-4728-5p	6	5
hsa-miR-506-3p	6	3
hsa-miR-4723-3p	6	4
hsa-miR-4722-5p	6	5
hsa-miR-451a	6	2
hsa-miR-516a-3p	6	3
hsa-miR-4720-3p	6	3
hsa-miR-5096	6	4
hsa-miR-660-3p	6	2
hsa-miR-663b	6	3
hsa-miR-4529-3p	6	3
hsa-miR-920	6	3
hsa-miR-4700-5p	6	3
hsa-miR-544a	6	4
hsa-miR-4779	6	4
hsa-let-7a-2-3p	6	4
hsa-miR-4318	6	3
hsa-miR-3922-5p	6	2
hsa-miR-3144-3p	6	3
hsa-miR-1276	6	3
hsa-miR-127-3p	6	3
hsa-miR-3929	6	4
hsa-miR-1268b	6	2
hsa-miR-1268a	6	2
hsa-miR-4306	6	1
hsa-miR-216a	6	4
hsa-miR-4258	6	3
hsa-miR-4419b	6	4
hsa-miR-22-3p	6	3
hsa-miR-22-5p	6	1
hsa-miR-331-3p	6	5
hsa-miR-221-5p	6	4
hsa-miR-1252	6	2
hsa-miR-2277-3p	6	4
hsa-miR-3660	6	3
hsa-miR-3909	6	4
hsa-miR-1972	6	4
hsa-miR-3146	6	3
hsa-miR-196a-3p	6	2
hsa-miR-3148	6	4
hsa-miR-3180-3p	6	3
hsa-miR-4255	6	4
hsa-miR-1538	6	3
hsa-miR-183-5p	6	3
hsa-miR-185-5p	6	1
hsa-miR-138-2-3p	6	4
hsa-miR-3183	6	4
hsa-miR-188-3p	6	3
hsa-miR-3174	6	3
hsa-miR-4280	6	2
hsa-miR-3173-5p	6	5
hsa-miR-3171	6	4
hsa-miR-3165	6	4
hsa-miR-1294	6	3
hsa-miR-3160-3p	6	3
hsa-miR-1287	6	4
hsa-miR-4292	6	5
hsa-miR-124-3p	6	3
hsa-miR-3180	6	3
hsa-miR-4431	6	1
hsa-miR-1204	6	3
hsa-miR-34c-3p	6	3
hsa-miR-3116	6	4
hsa-miR-3650	6	2
hsa-miR-3649	6	5
hsa-let-7g-3p	6	4
hsa-miR-1179	6	5
hsa-miR-3136-5p	6	1
hsa-miR-4448	6	2
hsa-miR-3692-5p	6	4
hsa-miR-3545-3p	6	2
hsa-miR-1193	6	3
hsa-miR-100-3p	6	2
hsa-miR-3607-5p	6	5
hsa-miR-297	6	2
hsa-miR-2909	6	1
hsa-miR-1234	6	3
hsa-miR-374b-5p	6	4
hsa-miR-506-5p	5	2
hsa-miR-30d-5p	5	3
hsa-miR-30e-5p	5	3
hsa-miR-4256	5	3
hsa-miR-4652-5p	5	3
hsa-miR-3978	5	3
hsa-miR-5195-3p	5	3
hsa-miR-3128	5	2
hsa-miR-190b	5	3
hsa-miR-190a	5	3
hsa-miR-505-5p	5	2
hsa-miR-4711-5p	5	2
hsa-miR-5580-5p	5	3
hsa-miR-3677-5p	5	3
hsa-miR-3136-3p	5	4
hsa-miR-3692-3p	5	4
hsa-miR-3118	5	3
hsa-miR-3677-3p	5	3
hsa-miR-30c-5p	5	3
hsa-miR-5087	5	3
hsa-miR-424-5p	5	2
hsa-miR-5586-3p	5	2
hsa-miR-374c-5p	5	3
hsa-miR-4658	5	2
hsa-miR-380-3p	5	3
hsa-miR-202-3p	5	2
hsa-miR-3145-3p	5	4
hsa-miR-223-5p	5	2
hsa-miR-219-1-3p	5	3
hsa-miR-548ao-5p	5	2
hsa-miR-369-3p	5	3
hsa-miR-4685-5p	5	4
hsa-miR-301a-5p	5	4
hsa-miR-299-3p	5	3
hsa-miR-2277-5p	5	2
hsa-miR-3137	5	3
hsa-miR-541-3p	5	2
hsa-miR-3689b-3p	5	4
hsa-miR-27b-5p	5	2
hsa-miR-4692	5	3
hsa-miR-544b	5	2
hsa-miR-3138	5	3
hsa-miR-4682	5	2
hsa-miR-3689a-3p	5	4
hsa-miR-30b-5p	5	3
hsa-miR-3688-3p	5	3
hsa-miR-3619-3p	5	3
hsa-miR-3689c	5	4
hsa-miR-30b-3p	5	4
hsa-miR-2054	5	2
hsa-miR-548b-3p	5	2
hsa-miR-548ax	5	2
hsa-miR-30a-5p	5	3
hsa-miR-3924	5	3
hsa-miR-3688-5p	5	2
hsa-miR-3928	5	4
hsa-miR-4703-5p	5	3
hsa-miR-3927	5	3
hsa-miR-2117	5	3
hsa-miR-5187-3p	5	3
hsa-miR-4464	5	1
hsa-miR-4643	5	4
hsa-miR-563	5	1
hsa-miR-331-5p	5	2
hsa-miR-4420	5	3
hsa-miR-765	5	4
hsa-miR-3657	5	4
hsa-miR-3659	5	4
hsa-miR-1245a	5	3
hsa-miR-4325	5	3
hsa-miR-711	5	3
hsa-miR-338-3p	5	3
hsa-miR-4514	5	3
hsa-miR-4305	5	2
hsa-miR-323b-5p	5	1
hsa-miR-660-5p	5	2
hsa-miR-502-3p	5	2
hsa-miR-655	5	3
hsa-miR-654-5p	5	2
hsa-miR-1265	5	2
hsa-miR-1266	5	2
hsa-miR-4308	5	4
hsa-miR-4421	5	3
hsa-miR-33b-3p	5	2
hsa-miR-449b-5p	5	3
hsa-miR-1229	5	3
hsa-miR-4456	5	2
hsa-miR-4795-5p	5	3
hsa-miR-4474-3p	5	3
hsa-miR-4474-5p	5	1
hsa-miR-34c-5p	5	3
hsa-miR-448	5	3
hsa-miR-92b-3p	5	3
hsa-miR-92a-3p	5	3
hsa-miR-4799-5p	5	3
hsa-miR-4766-5p	5	3
hsa-miR-4438	5	3
hsa-miR-888-5p	5	4
hsa-miR-4432	5	4
hsa-miR-4427	5	3
hsa-miR-1197	5	4
hsa-miR-875-5p	5	2
hsa-miR-1206	5	2
hsa-miR-649	5	2
hsa-miR-658	5	2
hsa-miR-3667-3p	5	2
hsa-miR-3186-5p	5	2
hsa-miR-1304-3p	5	2
hsa-miR-455-3p	5	2
hsa-miR-3186-3p	5	2
hsa-miR-4758-5p	5	2
hsa-miR-134	5	3
hsa-miR-580	5	1
hsa-miR-4752	5	3
hsa-miR-5694	5	2
hsa-miR-4639-3p	5	2
hsa-miR-4750	5	2
hsa-miR-5691	5	4
hsa-miR-4272	5	3
hsa-miR-3182	5	4
hsa-miR-153	5	3
hsa-miR-4645-5p	5	3
hsa-miR-5683	5	3
hsa-miR-501-3p	5	2
hsa-miR-1302	5	4
hsa-miR-1323	5	3
hsa-miR-5001-5p	5	2
hsa-miR-497-5p	5	2
hsa-miR-3194-5p	5	2
hsa-miR-608	5	3
hsa-miR-32-5p	5	3
hsa-miR-633	5	5
hsa-miR-3200-5p	5	2
hsa-miR-607	5	4
hsa-miR-4526	5	2
hsa-miR-4533	5	3
hsa-miR-604	5	3
hsa-miR-4754	5	2
hsa-miR-518d-5p	4	2
hsa-miR-4787-3p	4	2
hsa-miR-514b-5p	4	3
hsa-miR-518e-3p	4	1
hsa-miR-518e-5p	4	2
hsa-miR-3529-5p	4	2
hsa-miR-4786-3p	4	2
hsa-miR-518f-5p	4	2
hsa-miR-5011-5p	4	2
hsa-miR-4792	4	2
hsa-miR-3155b	4	2
hsa-miR-4799-3p	4	3
hsa-miR-518a-3p	4	3
hsa-miR-511	4	3
hsa-miR-513c-5p	4	3
hsa-miR-4800-5p	4	3
hsa-miR-4802-5p	4	2
hsa-miR-328	4	3
hsa-miR-517c-3p	4	2
hsa-miR-5002-5p	4	2
hsa-miR-517b-3p	4	2
hsa-miR-516a-5p	4	3
hsa-miR-5004-5p	4	4
hsa-miR-34a-5p	4	2
hsa-miR-3155a	4	2
hsa-miR-517a-3p	4	2
hsa-miR-518f-3p	4	3
hsa-miR-19b-2-5p	4	3
hsa-miR-3132	4	2
hsa-miR-155-3p	4	3
hsa-miR-676-3p	4	2
hsa-miR-675-3p	4	2
hsa-miR-665	4	2
hsa-miR-661	4	3
hsa-miR-644b-3p	4	2
hsa-miR-641	4	3
hsa-miR-636	4	4
hsa-miR-629-5p	4	3
hsa-miR-1272	4	3
hsa-miR-616-5p	4	4
hsa-miR-1283	4	3
hsa-miR-605	4	2
hsa-miR-1285-5p	4	2
hsa-miR-1291	4	3
hsa-miR-1292	4	2
hsa-miR-1307-3p	4	3
hsa-miR-579	4	2
hsa-miR-572	4	1
hsa-miR-151a-5p	4	3
hsa-miR-1249	4	1
hsa-miR-1245b-3p	4	3
hsa-miR-1244	4	1
hsa-let-7g-5p	4	1
hsa-let-7a-5p	4	1
hsa-miR-99a-5p	4	1
hsa-let-7b-5p	4	1
hsa-miR-98	4	1
hsa-let-7c	4	1
hsa-miR-95	4	2
hsa-let-7e-5p	4	1
hsa-let-7f-5p	4	1
hsa-miR-935	4	2
hsa-miR-1238	4	2
hsa-let-7i-5p	4	1
hsa-miR-100-5p	4	1
hsa-miR-103a-2-5p	4	3
hsa-miR-9-5p	4	2
hsa-miR-888-3p	4	2
hsa-miR-887	4	1
hsa-miR-767-3p	4	2
hsa-miR-1236	4	2
hsa-miR-151b	4	3
hsa-miR-15a-3p	4	3
hsa-miR-3126-3p	4	2
hsa-miR-15b-3p	4	2
hsa-miR-548ar-3p	4	2
hsa-miR-214-5p	4	3
hsa-miR-2276	4	2
hsa-miR-2392	4	3
hsa-miR-24-1-5p	4	3
hsa-miR-24-2-5p	4	3
hsa-miR-548a-3p	4	2
hsa-miR-29a-5p	4	2
hsa-miR-526a	4	2
hsa-miR-525-3p	4	2
hsa-miR-524-3p	4	2
hsa-miR-523-5p	4	2
hsa-miR-522-5p	4	2
hsa-miR-520c-5p	4	2
hsa-miR-519c-5p	4	2
hsa-miR-519b-5p	4	2
hsa-miR-519a-5p	4	2
hsa-miR-3124-3p	4	2
hsa-miR-3125	4	3
hsa-miR-2115-5p	4	3
hsa-miR-548av-3p	4	2
hsa-miR-19b-1-5p	4	3
hsa-miR-5582-3p	4	2
hsa-miR-181a-5p	4	3
hsa-miR-181b-5p	4	3
hsa-miR-181c-5p	4	3
hsa-miR-181d	4	3
hsa-miR-5591-5p	4	1
hsa-miR-5588-5p	4	3
hsa-miR-5585-3p	4	2
hsa-miR-1908	4	3
hsa-miR-5581-3p	4	2
hsa-miR-19a-5p	4	3
hsa-miR-5579-5p	4	1
hsa-miR-1914-5p	4	2
hsa-miR-1915-5p	4	2
hsa-miR-192-5p	4	2
hsa-miR-193a-3p	4	3
hsa-miR-193b-3p	4	3
hsa-miR-197-5p	4	2
hsa-miR-198	4	2
hsa-miR-3617	4	3
hsa-miR-99b-5p	4	1
hsa-miR-4500	4	1
hsa-miR-4328	4	3
hsa-miR-3960	4	3
hsa-miR-4738-3p	4	2
hsa-miR-3975	4	3
hsa-miR-409-5p	4	2
hsa-miR-410	4	2
hsa-miR-4484	4	2
hsa-miR-4746-5p	4	1
hsa-miR-4659b-5p	4	3
hsa-miR-3675-5p	4	3
hsa-miR-4650-3p	4	2
hsa-miR-4263	4	4
hsa-miR-4645-3p	4	2
hsa-miR-4638-5p	4	3
hsa-miR-4312	4	2
hsa-miR-431-3p	4	1
hsa-miR-4637	4	2
hsa-miR-3663-5p	4	1
hsa-miR-4672	4	3
hsa-miR-4733-5p	4	1
hsa-miR-4632	4	2
hsa-miR-4437	4	1
hsa-miR-449a	4	2
hsa-miR-4711-3p	4	3
hsa-miR-4713-3p	4	2
hsa-miR-4716-5p	4	2
hsa-miR-4423-5p	4	3
hsa-miR-379-5p	4	2
hsa-miR-383	4	2
hsa-miR-4718	4	3
hsa-miR-373-5p	4	4
hsa-miR-371b-5p	4	4
hsa-miR-4680-3p	4	3
hsa-miR-3690	4	3
hsa-miR-3689f	4	2
hsa-miR-3689e	4	2
hsa-miR-3689b-5p	4	2
hsa-miR-4677-5p	4	2
hsa-miR-3689a-5p	4	2
hsa-miR-451b	4	2
hsa-miR-4499	4	3
hsa-miR-4446-5p	4	3
hsa-miR-4776-3p	4	3
hsa-miR-3622b-3p	4	2
hsa-miR-4536-5p	4	2
hsa-miR-4297	4	3
hsa-miR-4304	4	2
hsa-miR-4452	4	3
hsa-miR-4281	4	1
hsa-miR-4773	4	3
hsa-miR-4535	4	3
hsa-miR-4300	4	1
hsa-miR-4766-3p	4	2
hsa-miR-4764-3p	4	1
hsa-miR-4299	4	1
hsa-miR-4772-3p	4	2
hsa-miR-4524b-3p	4	2
hsa-miR-4302	4	2
hsa-miR-3622a-3p	4	2
hsa-miR-615-3p	3	2
hsa-miR-2116-5p	3	1
hsa-miR-585	3	1
hsa-miR-4507	3	3
hsa-miR-616-3p	3	1
hsa-miR-642b-3p	3	3
hsa-miR-1243	3	2
hsa-miR-206	3	2
hsa-miR-614	3	1
hsa-miR-210	3	1
hsa-miR-644a	3	2
hsa-miR-610	3	3
hsa-miR-3944-3p	3	3
hsa-miR-199b-3p	3	2
hsa-miR-606	3	1
hsa-miR-199a-3p	3	2
hsa-miR-4668-3p	3	3
hsa-miR-1248	3	2
hsa-miR-3974	3	2
hsa-miR-212-3p	3	2
hsa-miR-3923	3	1
hsa-miR-212-5p	3	1
hsa-miR-642a-3p	3	3
hsa-miR-4701-5p	3	2
hsa-miR-4701-3p	3	3
hsa-miR-302a-5p	3	2
hsa-miR-29c-5p	3	1
hsa-miR-2861	3	3
hsa-miR-379-3p	3	2
hsa-miR-631	3	2
hsa-miR-1228-5p	3	1
hsa-miR-1271-5p	3	1
hsa-miR-626	3	2
hsa-miR-2682-5p	3	2
hsa-miR-449c-5p	3	2
hsa-miR-3926	3	2
hsa-miR-619	3	2
hsa-miR-3915	3	2
hsa-miR-1279	3	1
hsa-miR-1237	3	2
hsa-miR-4688	3	2
hsa-miR-4503	3	2
hsa-miR-433	3	2
hsa-miR-4685-3p	3	1
hsa-miR-548ao-3p	3	2
hsa-miR-219-5p	3	2
hsa-miR-708-3p	3	1
hsa-miR-197-3p	3	1
hsa-miR-4666a-5p	3	2
hsa-miR-196b-3p	3	2
hsa-miR-146a-3p	3	3
hsa-miR-155-5p	3	2
hsa-miR-154-3p	3	3
hsa-miR-1539	3	3
hsa-miR-662	3	2
hsa-miR-4287	3	1
hsa-miR-4267	3	1
hsa-miR-432-3p	3	2
hsa-miR-4316	3	2
hsa-miR-151a-3p	3	2
hsa-miR-454-5p	3	2
hsa-miR-5695	3	2
hsa-miR-5699	3	2
hsa-miR-1262	3	3
hsa-miR-548s	3	2
hsa-miR-656	3	1
hsa-miR-136-5p	3	2
hsa-miR-5706	3	2
hsa-miR-588	3	2
hsa-miR-135b-5p	3	2
hsa-miR-135a-5p	3	2
hsa-miR-1343	3	3
hsa-miR-578	3	2
hsa-miR-132-3p	3	2
hsa-miR-133b	3	1
hsa-miR-133a	3	1
hsa-miR-1324	3	2
hsa-miR-4648	3	2
hsa-miR-181a-3p	3	1
hsa-miR-4262	3	3
hsa-miR-4257	3	2
hsa-miR-194-5p	3	2
hsa-miR-651	3	2
hsa-miR-4534	3	2
hsa-miR-3620	3	3
hsa-miR-411-3p	3	2
hsa-miR-550a-3p	3	2
hsa-miR-1251	3	1
hsa-miR-553	3	1
hsa-miR-556-5p	3	3
hsa-miR-4663	3	3
hsa-miR-4661-5p	3	1
hsa-miR-424-3p	3	1
hsa-miR-18b-3p	3	2
hsa-miR-4537	3	2
hsa-miR-5584-3p	3	1
hsa-miR-5584-5p	3	2
hsa-miR-1267	3	2
hsa-miR-187-5p	3	2
hsa-miR-664-5p	3	3
hsa-miR-4657	3	1
hsa-miR-4496	3	3
hsa-miR-4539	3	2
hsa-miR-182-3p	3	1
hsa-miR-5590-5p	3	2
hsa-miR-125b-2-3p	3	2
hsa-miR-182-5p	3	1
hsa-miR-192-3p	3	2
hsa-miR-31-3p	3	2
hsa-let-7e-3p	3	1
hsa-miR-487a	3	3
hsa-miR-337-3p	3	2
hsa-miR-4762-3p	3	3
hsa-miR-339-5p	3	2
hsa-miR-3135a	3	2
hsa-miR-3134	3	2
hsa-let-7d-3p	3	1
hsa-miR-516b-5p	3	3
hsa-miR-4765	3	2
hsa-miR-4720-5p	3	2
hsa-miR-5190	3	1
hsa-miR-508-3p	3	2
hsa-miR-3682-3p	3	3
hsa-miR-3655	3	2
hsa-miR-3661	3	2
hsa-miR-3139	3	2
hsa-miR-3190-3p	3	2
hsa-miR-3200-3p	3	1
hsa-miR-10a-5p	3	3
hsa-miR-3153	3	2
hsa-miR-3196	3	1
hsa-miR-3199	3	3
hsa-miR-3166	3	2
hsa-miR-3668	3	2
hsa-miR-3667-5p	3	2
hsa-miR-3192	3	2
hsa-miR-3685	3	3
hsa-miR-936	3	2
hsa-miR-4479	3	1
hsa-miR-10b-5p	3	3
hsa-miR-490-3p	3	2
hsa-miR-4741	3	2
hsa-miR-34b-5p	3	2
hsa-miR-4433-5p	3	2
hsa-miR-4796-5p	3	1
hsa-miR-96-5p	3	1
hsa-miR-502-5p	3	1
hsa-miR-3180-5p	3	1
hsa-miR-1185-5p	3	2
hsa-miR-4440	3	1
hsa-miR-3115	3	3
hsa-miR-4776-5p	3	2
hsa-miR-4782-3p	3	2
hsa-miR-4782-5p	3	2
hsa-miR-885-5p	3	1
hsa-miR-1	3	2
hsa-miR-500a-3p	3	1
hsa-miR-3615	3	2
hsa-miR-4469	3	1
hsa-miR-3605-5p	3	3
hsa-miR-3613-5p	3	1
hsa-miR-3198	3	2
hsa-miR-4753-5p	3	2
hsa-miR-3675-3p	3	2
hsa-miR-4717-3p	3	2
hsa-miR-4480	3	1
hsa-miR-4491	3	1
hsa-miR-5009-3p	3	2
hsa-miR-4772-5p	3	1
hsa-miR-4264	2	1
hsa-miR-4265	2	1
hsa-miR-567	2	1
hsa-miR-5589-3p	2	1
hsa-miR-425-5p	2	2
hsa-miR-664-3p	2	2
hsa-let-7i-3p	2	2
hsa-miR-186-3p	2	2
hsa-miR-150-3p	2	1
hsa-miR-146b-3p	2	2
hsa-miR-4481	2	1
hsa-miR-5004-3p	2	1
hsa-miR-499b-5p	2	2
hsa-miR-5006-3p	2	2
hsa-miR-150-5p	2	1
hsa-miR-566	2	2
hsa-miR-3193	2	2
hsa-miR-4751	2	1
hsa-miR-5007-3p	2	2
hsa-miR-663a	2	1
hsa-miR-3674	2	2
hsa-miR-3672	2	2
hsa-miR-4654	2	1
hsa-miR-569	2	1
hsa-miR-4755-5p	2	2
hsa-miR-5693	2	1
hsa-miR-4635	2	2
hsa-miR-4757-3p	2	1
hsa-miR-140-5p	2	1
hsa-miR-4296	2	1
hsa-miR-4471	2	1
hsa-miR-4529-5p	2	2
hsa-miR-3545-5p	2	1
hsa-miR-1282	2	2
hsa-miR-363-5p	2	2
hsa-miR-4788	2	1
hsa-miR-3611	2	1
hsa-miR-622	2	2
hsa-miR-4527	2	1
hsa-miR-624-5p	2	2
hsa-miR-4524a-3p	2	1
hsa-miR-4525	2	2
hsa-miR-630	2	1
hsa-miR-4781-3p	2	2
hsa-miR-1270	2	2
hsa-miR-4454	2	1
hsa-miR-3618	2	1
hsa-miR-1269b	2	2
hsa-miR-3648	2	1
hsa-miR-3652	2	2
hsa-miR-4520b-5p	2	2
hsa-miR-4748	2	1
hsa-miR-4278	2	1
hsa-miR-496	2	1
hsa-miR-493-3p	2	1
hsa-miR-574-5p	2	1
hsa-miR-135b-3p	2	2
hsa-miR-4760-5p	2	1
hsa-miR-653	2	2
hsa-miR-652-5p	2	1
hsa-miR-488-5p	2	2
hsa-miR-598	2	1
hsa-miR-4445-5p	2	2
hsa-miR-4477b	2	2
hsa-miR-589-3p	2	2
hsa-miR-4309	2	2
hsa-miR-4520a-5p	2	2
hsa-miR-1298	2	2
hsa-miR-1295b-5p	2	2
hsa-miR-3654	2	2
hsa-miR-4659a-5p	2	2
hsa-miR-1269a	2	2
hsa-miR-4747-5p	2	1
hsa-miR-4687-3p	2	1
hsa-miR-24-3p	2	1
hsa-miR-449c-3p	2	2
hsa-miR-4433-3p	2	2
hsa-miR-23b-5p	2	2
hsa-miR-3912	2	1
hsa-miR-638	2	1
hsa-miR-3914	2	1
hsa-miR-371a-5p	2	2
hsa-miR-3713	2	1
hsa-miR-3133	2	1
hsa-miR-3918	2	2
hsa-miR-4684-5p	2	1
hsa-miR-4694-3p	2	2
hsa-miR-3135b	2	2
hsa-miR-890	2	1
hsa-miR-3691-3p	2	1
hsa-miR-4725-5p	2	2
hsa-miR-4727-3p	2	1
hsa-miR-891a	2	1
hsa-miR-548au-3p	2	1
hsa-miR-2114-3p	2	2
hsa-miR-891b	2	1
hsa-miR-4732-3p	2	2
hsa-miR-3687	2	1
hsa-miR-2681-3p	2	2
hsa-miR-769-3p	2	1
hsa-miR-208b	2	2
hsa-miR-375	2	2
hsa-miR-378a-3p	2	2
hsa-miR-1203	2	1
hsa-miR-378b	2	2
hsa-miR-3074-5p	2	1
hsa-miR-3074-3p	2	2
hsa-miR-3065-5p	2	2
hsa-miR-302d-5p	2	1
hsa-miR-523-3p	2	1
hsa-miR-4712-3p	2	2
hsa-miR-302b-5p	2	1
hsa-miR-378c	2	2
hsa-miR-378d	2	2
hsa-miR-374a-3p	2	2
hsa-miR-378e	2	2
hsa-miR-4713-5p	2	1
hsa-miR-378f	2	2
hsa-miR-378h	2	2
hsa-miR-378i	2	2
hsa-miR-2964a-5p	2	2
hsa-miR-4697-3p	2	2
hsa-miR-4696	2	1
hsa-miR-4715-5p	2	1
hsa-miR-5196-5p	2	1
hsa-miR-5195-5p	2	2
hsa-miR-4326	2	1
hsa-miR-3936	2	2
hsa-miR-421	2	2
hsa-miR-3175	2	2
hsa-miR-5090	2	1
hsa-miR-509-3p	2	1
hsa-miR-3680-3p	2	1
hsa-miR-3679-5p	2	2
hsa-miR-4743	2	1
hsa-miR-4664-3p	2	1
hsa-miR-208a	2	2
hsa-miR-1250	2	2
hsa-miR-4512	2	2
hsa-miR-1255a	2	2
hsa-miR-1914-3p	2	2
hsa-miR-551a	2	1
hsa-miR-551b-3p	2	1
hsa-miR-1912	2	2
hsa-miR-1911-5p	2	1
hsa-miR-4745-5p	2	1
hsa-miR-5571-5p	2	2
hsa-miR-4322	2	1
hsa-miR-3977	2	2
hsa-miR-3176	2	2
hsa-miR-1258	2	1
hsa-miR-718	2	1
hsa-miR-4442	2	1
hsa-miR-3940-5p	2	2
hsa-miR-3684	2	1
hsa-miR-10b-3p	2	2
hsa-miR-3682-5p	2	2
hsa-miR-5092	2	1
hsa-miR-504	2	2
hsa-miR-3939	2	1
hsa-miR-4424	2	1
hsa-miR-3159	2	2
hsa-miR-1909-5p	2	1
hsa-miR-505-3p	2	2
hsa-miR-4671-5p	2	1
hsa-miR-4461	2	1
hsa-miR-422a	2	2
hsa-miR-4467	1	1
hsa-miR-1257	1	1
hsa-miR-4498	1	1
hsa-miR-642a-5p	1	1
hsa-miR-1255b-5p	1	1
hsa-miR-101-5p	1	1
hsa-miR-1224-5p	1	1
hsa-miR-1264	1	1
hsa-miR-644b-5p	1	1
hsa-miR-4320	1	1
hsa-miR-4439	1	1
hsa-miR-938	1	1
hsa-miR-4482-3p	1	1
hsa-miR-4324	1	1
hsa-miR-4315	1	1
hsa-miR-1181	1	1
hsa-miR-4329	1	1
hsa-miR-4477a	1	1
hsa-miR-1261	1	1
hsa-miR-4453	1	1
hsa-miR-659-5p	1	1
hsa-miR-450b-5p	1	1
hsa-miR-921	1	1
hsa-miR-126-3p	1	1
hsa-miR-933	1	1
hsa-miR-1233	1	1
hsa-miR-4521	1	1
hsa-miR-4513	1	1
hsa-miR-4777-5p	1	1
hsa-miR-1271-3p	1	1
hsa-miR-3117-5p	1	1
hsa-miR-3162-3p	1	1
hsa-miR-4737	1	1
hsa-miR-4734	1	1
hsa-miR-515-3p	1	1
hsa-miR-515-5p	1	1
hsa-miR-3140-5p	1	1
hsa-miR-4724-3p	1	1
hsa-miR-3691-5p	1	1
hsa-miR-3131	1	1
hsa-miR-3130-3p	1	1
hsa-miR-4716-3p	1	1
hsa-miR-519e-5p	1	1
hsa-miR-5091	1	1
hsa-miR-4710	1	1
hsa-miR-376a-5p	1	1
hsa-miR-4708-3p	1	1
hsa-miR-378a-5p	1	1
hsa-miR-4705	1	1
hsa-miR-3064-5p	1	1
hsa-miR-4704-5p	1	1
hsa-miR-542-5p	1	1
hsa-miR-26a-2-3p	1	1
hsa-miR-26a-1-3p	1	1
hsa-miR-2682-3p	1	1
hsa-miR-3681-5p	1	1
hsa-miR-507	1	1
hsa-miR-2355-3p	1	1
hsa-miR-33a-3p	1	1
hsa-miR-4777-3p	1	1
hsa-miR-4780	1	1
hsa-miR-4787-5p	1	1
hsa-miR-361-5p	1	1
hsa-miR-4791	1	1
hsa-miR-4794	1	1
hsa-miR-34b-3p	1	1
hsa-miR-4764-5p	1	1
hsa-miR-4804-3p	1	1
hsa-miR-345-3p	1	1
hsa-miR-340-3p	1	1
hsa-miR-339-3p	1	1
hsa-miR-4746-3p	1	1
hsa-miR-4760-3p	1	1
hsa-miR-492	1	1
hsa-miR-3669	1	1
hsa-miR-3191-3p	1	1
hsa-miR-3190-5p	1	1
hsa-miR-3187-3p	1	1
hsa-miR-4749-5p	1	1
hsa-miR-3181	1	1
hsa-miR-5010-5p	1	1
hsa-miR-3676-3p	1	1
hsa-miR-3178	1	1
hsa-miR-382-3p	1	1
hsa-miR-3913-3p	1	1
hsa-miR-625-5p	1	1
hsa-miR-4636	1	1
hsa-miR-4273	1	1
hsa-miR-4276	1	1
hsa-miR-149-5p	1	1
hsa-miR-148a-5p	1	1
hsa-miR-1469	1	1
hsa-miR-144-5p	1	1
hsa-miR-138-1-3p	1	1
hsa-miR-5708	1	1
hsa-miR-571	1	1
hsa-miR-136-3p	1	1
hsa-miR-577	1	1
hsa-miR-4633-3p	1	1
hsa-miR-5686	1	1
hsa-miR-132-5p	1	1
hsa-miR-1307-5p	1	1
hsa-miR-590-5p	1	1
hsa-miR-4538	1	1
hsa-miR-1288	1	1
hsa-miR-4294	1	1
hsa-miR-611	1	1
hsa-miR-613	1	1
hsa-miR-615-5p	1	1
hsa-miR-4298	1	1
hsa-miR-1273e	1	1
hsa-miR-4271	1	1
hsa-miR-4655-3p	1	1
hsa-miR-224-5p	1	1
hsa-miR-196a-5p	1	1
hsa-miR-223-3p	1	1
hsa-miR-222-5p	1	1
hsa-miR-4684-3p	1	1
hsa-miR-3935	1	1
hsa-miR-211-5p	1	1
hsa-miR-3938	1	1
hsa-miR-21-5p	1	1
hsa-miR-204-5p	1	1
hsa-miR-202-5p	1	1
hsa-miR-1973	1	1
hsa-miR-196b-5p	1	1
hsa-miR-550a-3-5p	1	1
hsa-miR-4251	1	1
hsa-miR-550a-5p	1	1
hsa-miR-1910	1	1
hsa-miR-557	1	1
hsa-miR-191-5p	1	1
hsa-miR-191-3p	1	1
hsa-miR-5579-3p	1	1
hsa-miR-4662a-5p	1	1
hsa-miR-423-3p	1	1
hsa-miR-466	1	1
hsa-miR-187-3p	1	1
hsa-miR-4656	1	1
hsa-miR-5094	1	1
