	miRNA	Genesymbol
3392	hsa-miR-200a-3p	FGFR1
3393	hsa-miR-5047	FGFR1
3440	hsa-miR-4274	FGFR1
3457	hsa-miR-324-3p	FGFR1
3490	hsa-miR-4310	RET
3491	hsa-miR-888-3p	RET
3493	hsa-miR-4418	FGFR1
3509	hsa-miR-4524a-5p	FGFR1
3518	hsa-miR-128	PIK3R1
3522	hsa-miR-573	KIT
3527	hsa-miR-4524b-5p	FGFR1
3536	hsa-miR-132-5p	EGFR
3537	hsa-miR-1245a	FLT3
3546	hsa-miR-625-3p	VHL
3556	hsa-miR-3616-5p	KIT
3558	hsa-miR-3193	HRAS
3559	hsa-miR-374b-3p	FGFR1
3568	hsa-miR-3681-3p	PIK3R1
3580	hsa-miR-4783-3p	KIT
3582	hsa-miR-759	LCK
3584	hsa-miR-3185	FGFR1
3593	hsa-miR-4269	VHL
3595	hsa-miR-587	FGFR3
3603	hsa-miR-568	RET
3604	hsa-miR-650	FGFR1
3614	hsa-miR-452-3p	FGFR2
3621	hsa-miR-3612	FGFR1
3631	hsa-miR-4252	FGFR2
3640	hsa-miR-452-5p	ETV1
3641	hsa-miR-4676-3p	ETV1
3642	hsa-miR-548g-3p	ETV1
3661	hsa-miR-3065-5p	VHL
3662	hsa-miR-3529-3p	VHL
3663	hsa-miR-3613-3p	VHL
3667	hsa-miR-3613-3p	PDGFD
3673	hsa-miR-326	ELF4
3674	hsa-miR-330-5p	ELF4
3676	hsa-miR-4488	ELF4
3678	hsa-miR-4665-5p	ELF4
3679	hsa-miR-4667-5p	ELF4
3680	hsa-miR-4697-5p	ELF4
3681	hsa-miR-637	ELF4
3693	hsa-miR-1290	MDM2
3694	hsa-miR-541-5p	MDM2
3695	hsa-miR-1243	TCF3
3696	hsa-miR-3148	TCF3
3697	hsa-miR-3654	TCF3
3698	hsa-miR-875-3p	TCF3
3699	hsa-miR-3148	PLAG1
3700	hsa-miR-3688-3p	PLAG1
3705	hsa-miR-3169	NET1
3707	hsa-miR-3131	PML
3708	hsa-miR-3169	PML
3709	hsa-miR-4318	PML
3710	hsa-miR-611	PML
3715	hsa-miR-5002-3p	MXI1
3720	hsa-miR-873-3p	MXI1
3743	hsa-miR-3162-3p	AFF4
3745	hsa-miR-4640-3p	AFF4
3746	hsa-miR-329	KRAS
3747	hsa-miR-362-3p	KRAS
3748	hsa-miR-3941	KRAS
3750	hsa-miR-603	KRAS
3760	hsa-miR-185-3p	TAL1
3761	hsa-miR-3675-5p	TAL1
3762	hsa-miR-4492	TAL1
3763	hsa-miR-4675	TAL1
3764	hsa-miR-762	TAL1
