	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Sum
MTA1		0.005976637																											0.000909985	0.006886622
EPHA3									0.001433075			0.001751654		0.000412213	0.000272567									0.00288906	0.00010743					0.006865999
WISP1		0.005976637																											0.000885391	0.006862028
POU4F1															0.00022301				0.001802301				0.004828326							0.006853637
EPHX3				0.006850879																										0.006850879
SLC44A5				0.006850879																										0.006850879
TRA2B				0.006850879																										0.006850879
TMCO1									0.001003153			0.005838848																		0.006842001
C14orf28												0.006228104			0.000495577										9.98E-05					0.006823437
DDR1		0.005161641												0.001264585															0.000393507	0.006819733
IP6K2												0.002724796																	0.004082636	0.006807432
ACER3								0.006267292	0.000429923						0.000107375															0.006804589
TGM2														0.000195626		0.002306396			0.004297796											0.006799818
MLPH										0.00677392																				0.00677392
IGF1R			0.001920662									0.004671078		0.00014672	3.30E-05															0.006771498
ALDH7A1			0.006205215											0.000544959																0.006750174
SLC25A23				0.006622517										0.00012576																0.006748276
KIAA0040																0.006741772														0.006741772
KLHL5			0.005318756													0.001419321														0.006738077
FAM47E-STBD1		0.003531649												0.000398239	0.000115635														0.002680767	0.00672629
GAS2L1		0.006248302												0.000181653															0.00029513	0.006725085
EIF5A									0.006496608					0.000223573																0.006720181
CASP7									0.004585841							0.002128981														0.006714822
CDK4													0.006713142																	0.006713142
SERPINE2																		0.006699577												0.006699577
XYLT1			0.001551304	0.004795615										0.000349333																0.006696252
SNCAIP				0.006394154																									0.00029513	0.006689284
SEC14L5								0.004347581				0.002335539																		0.00668312
NFAT5									0.002627305					0.000244533	0.003056058										0.000728986					0.006656882
IGF2																0.006653065														0.006653065
SMIM12														0.000356319															0.00627152	0.006627839
CLPTM1				0.006622517																										0.006622517
DERL1												0.006617361																		0.006617361
FOXK1								0.005363898						0.000216586	0.000371683										0.000652251					0.006604418
DNAJC27				0.004110528					0.002483997																					0.006594525
TFCP2L1															0.000330385				0.006238736											0.00656912
PRKRIP1										0.004064352									0.002495494											0.006559846
PDE4D														0.001949277	0.004608866															0.006558143
MAP2K3				0.004567253					0.001433075						0.000545135															0.006545463
MS4A3															0.000718587				0.00582282											0.006541407
NBN														0.00016768						0.006369427										0.006537106
HIRIP3		0.00461831							0.001910767																					0.006529077
C11orf49		0.00407498	0.000738716						0.000812076					0.000356319															0.000541072	0.006523164
PLD5														0.000398239	0.001313279	0.004790207														0.006501725
SYNDIG1L																0.002749933			0.003743241											0.006493175
OGG1		0.002444988												0.000775519															0.003271028	0.006491535
KLHL6				0.00342544															0.003050049											0.006475488
ZFYVE1															0.000693808									0.00577812						0.006471928
BCAS3														0.000363306					0.006100097											0.006463403
TMTC1									0.000764307							0.005145037									0.000552495					0.006461838
TP53INP1								0.003500649							0.000462539				0.002495494											0.006458682
GRHL1																											0.006442377			0.006442377
TSPAN33										0.006435224																				0.006435224
DPY19L1												0.006422733																		0.006422733
ITGB3												0.006422733																		0.006422733
5-Sep								0.006097905																					0.000319725	0.00641763
SPOCK2														0.000768532	0.000231269			0.005406676												0.006406477
UGT3A1														0.00016768	0.000272567				0.005961458											0.006401706
LALBA				0.006394154																										0.006394154
SLC39A11																0.006386942														0.006386942
ZIC4																0.006386942														0.006386942
GAB3			0.003989067						0.000859845					0.000265493	0.000313865			0.000940291												0.006368562
TNFRSF10B										0.004741744					0.000346904										0.000828742				0.000442696	0.006360086
FIBCD1			0.005909729											0.000447146																0.006356875
SEMA5A			0.001034203						0.000955384						0.000528615									0.003466872	0.000345309					0.006330383
RUNX1													0.005163956		0.001156346															0.006320302
LHPP		0.005704971																											0.000614855	0.006319826
C9orf47															0.00021475				0.006100097											0.006314847
CLDN11									0.000477692							0.005677282									0.000153471					0.006308445
IFI44L																0.001596736								0.004429892	0.000276247					0.006302875
PTGER3														0.000712639	0.000512096	0.000443538								0.004622496						0.006290769
CTSS																		0.004231312							0.002056508					0.00628782
SLC26A4															0.000297346	0.000620953											0.005368647			0.006286946
RETSAT																			0.004159157					0.002118644						0.006277801
BCLAF1										0.006096528				0.00016768																0.006264208
HEMK1				0.005252341					0.000764307					0.000237546																0.006254194
SERBP1														0.000866345	0.000594692	0.004257962									0.000521801					0.0062408
MYOCD			0.004727783											0.000461119															0.001032956	0.006221859
B3GALT5									0.006209993																					0.006209993
PARP9								0.005646209							0.00020649										0.000322289					0.006174988
PRSS12			0.000812588	0.005252341											0.000107375															0.006172303
TASP1															8.26E-05												0.006084467			0.006167063
OASL		0.004346645												0.00018864											0.000966866				0.000664043	0.006166194
BCL6B																								0.006163328						0.006163328
PTPRS																								0.006163328						0.006163328
GIN1									0.000382153					4.19E-05									0.005364807		0.00036833					0.00615721
PREPL																									0.004941758				0.001205116	0.006146873
EP300			0.006131344																											0.006131344
LARP1B												0.006033476		9.78E-05																0.006131289
CD164			0.005983601											0.00014672																0.00613032
METTL21B		0.003259984													0.000231269										0.000936172				0.001697	0.006124424
STARD13									0.004394764					0.000307413	0.001420654															0.006122831
CIB2														2.79E-05													0.006084467			0.006112413
INSC																		0.006111895												0.006111895
NSUN5										0.006096528																				0.006096528
SIGLEC7										0.006096528																				0.006096528
PAPPA2			0.003398094																					0.002696456						0.00609455
IL18R1																											0.006084467			0.006084467
RAB31																											0.006084467			0.006084467
MAGI1		0.004346645												0.000139733															0.001574029	0.006060407
ZC3H7B											0.005687694			0.000363306																0.006051
FAN1		0.005161641												0.00014672															0.000737826	0.006046186
ZNF320														0.000454133	0.000239529	0.002306396			0.002772771						0.0002609					0.006033729
PDK3												0.006033476																		0.006033476
ADCY2											0.005170631			0.000111786	0.000578173										0.00013045					0.005991041
CD8A									0.005588994						0.000396462															0.005985456
ZNF208										0.002370872				0.000335359	9.09E-05									0.002118644	0.001066622					0.005982353
VSIG4		0.005976637																												0.005976637
WDR20		0.00461831												0.000223573															0.001131333	0.005973216
GRM6									0.000716538					0.000160693		0.001596736			0.003050049						0.000445065					0.00596908
LGALS9C																			0.005961458											0.005961458
ST6GAL2															0.000809442				0.004990988						0.000153471					0.005953902
TRPM1									0.004872456						0.00022301										0.000851763					0.005947229
ASPH			0.001920662											0.000964158				0.003055947												0.005940768
IQUB				0.005937429																										0.005937429
GM2A										0.00592718																				0.00592718
CPNE3											0.005687694			4.89E-05	0.000189971															0.005926572
OSBPL3			0.005909729																											0.005909729
PGM3			0.003989067																										0.001918347	0.005907414
PLCXD3			0.001255817											0.000139733	0.000107375	0.003016056			0.001386386											0.005905367
LRRTM4														6.99E-05	0.000107375												0.005726557			0.005903798
REEP6												0.005838848		4.19E-05																0.005880768
C5orf20																		0.005876822												0.005876822
FAM167A									0.000620999			0.005254963																		0.005875962
SLC34A1								0.001806787																		0.004042631				0.005849418
HOXD1												0.005838848																		0.005838848
NUCKS1															0.000107375												0.005726557			0.005833932
ODF2L														0.000517013	0.000264308	0.000177415									0.004865022					0.005823758
COL1A2																								0.00577812						0.00577812
TPRX1																								0.00577812						0.00577812
ST5			0.005761986																											0.005761986
MAMLD1								0.005759133																						0.005759133
MMP1										0.005757832																				0.005757832
USP39									0.005732302																					0.005732302
DNAJC24														0.000223573					0.004713711						0.000790374					0.005727659
PPM1K																											0.005726557			0.005726557
LCORL											0.005170631				0.000189971										9.21E-05				0.000270536	0.005723221
EMCN															0.000148673			0.00493653							0.00062923					0.005714433
SRCRB4D			0.002437763																					0.003274268						0.005712031
ACPL2				0.005480703											0.000231269															0.005711973
VAC14				0.005709066																										0.005709066
ZNF138										0.003725656				8.38E-05															0.001893753	0.005703249
SRF								0.005702671																						0.005702671
C11orf87				0.005023978					0.000286615					6.99E-05	0.000305606															0.005686066
TRPC4									0.004299226					0.000880319											0.000506453					0.005685998
PCYT1B			0.005318756												0.000346904															0.00566566
EEFSEC												0.00564422																		0.00564422
PDE3A																		0.005641749												0.005641749
RUSC1														0.000642772					0.004990988											0.005633761
FAM13A														0.000223573				0.005406676												0.005630249
ATCAY														7.69E-05	0.000115635	0.001951566									0.001327522		0.002147459			0.005619034
CRYZ			0.005614242																											0.005614242
GPRASP1			0.005614242																											0.005614242
TMEM164			0.005171013											0.000433173																0.005604185
ARNTL2																									0.005601682					0.005601682
PKHD1			0.000738716							0.004572396				8.38E-05	0.00020649															0.005601443
EIF4EBP2				0.004567253					0.000955384																7.67E-05					0.005599372
CNTN6										0.005588484																				0.005588484
COL6A5												0.004865707		7.69E-05															0.000614855	0.005557415
GABRG1			0.000812588								0.004136505			0.000426186	0.000181712															0.00555699
ASCC2																			0.005545543											0.005545543
ITIH4																			0.005545543											0.005545543
EID2																												0.005545287		0.005545287
ZMAT3			0.001772919						0.003248304						0.000379942										0.000138124					0.005539289
HTRA2								0.005533284																						0.005533284
SSPN									0.002675074			0.002724796			0.000132154															0.005532024
TPCN1			0.00502327											0.000503039																0.005526309
ZADH2												0.004281822				0.001241905														0.005523727
FAM169B														9.78E-05				0.005406676												0.005504489
CADPS2				0.004795615										0.000691679																0.005487294
CHAMP1				0.005480703																										0.005480703
PCDH17									0.001433075						0.000578173									0.003466872						0.005478121
ZNF594														0.000202613				0.004348848											0.000909985	0.005461446
DENND5B								0.004629891																	0.000828742					0.005458633
RSPO4														0.000181653					0.005268266											0.005449919
RAB34															0.001123308														0.004303984	0.005427292
KLHL4												0.00330868																	0.002115101	0.005423781
KLK12										0.005419136																				0.005419136
ZNF419														0.001369384	0.004047212															0.005416596
CHCHD3																			0.005406904											0.005406904
C6orf25		0.004346645												0.001047998																0.005394643
LOC646851																								0.005392912						0.005392912
LHX6									0.004776918					0.000607839																0.005384757
ZNF681														0.000195626	0.000107375								0.004828326		0.000253227					0.005384554
SDF4		0.00461831							0.000764307																					0.005382617
GUCA2B																											0.005368647			0.005368647
CCDC50			0.002954864											5.59E-05	0.000231269			0.001880583							0.000245553					0.005368163
C3orf55				0.005023978										0.000195626															0.000147565	0.00536717
BRSK1																							0.005364807							0.005364807
SKA2			0.003841324																										0.001500246	0.00534157
CLEC12B			0.004210682					0.001129242																						0.005339924
STX7																	0.005338078													0.005338078
VWA1		0.00461831												0.000712639																0.005330949
PYCRL														6.29E-05					0.004713711						0.000552495					0.005329086
GPS1																0.005322452														0.005322452
GYS1																0.005322452														0.005322452
HTR4										0.00508044				0.0002096																0.00529004
SCAF4																		0.00528914												0.00528914
MRPL49			0.000369358									0.00447645		0.000237546											0.000184165					0.005267519
BCAT1									0.00525461																					0.00525461
DSCC1										0.005249788																				0.005249788
MEIG1										0.005249788																				0.005249788
PMEPA1														0.001047998	0.00020649	0.003991839														0.005246328
UBP1										0.004572396					0.000669029															0.005241425
GK5														7.69E-05	0.00020649			0.00493653												0.005219874
PDCD6IP												0.005060335			0.000148673															0.005209008
HIPK2								0.002484332						0.000698666	0.000247788	0.001774151														0.005204936
PHACTR4			0.003545837																						0.001657484					0.005203321
HRH4														0.000586879	9.91E-05			0.003526093							0.000989886					0.005201974
RBM43																								0.005200308						0.005200308
C17orf58										0.004403048																			0.000787014	0.005190063
CACNB4									0.004585841						0.000594692															0.005180534
SHANK3			0.005171013																											0.005171013
KIAA1462				0.004795615											5.78E-05										0.000314615					0.005168048
MRPL43		0.005161641																												0.005161641
C17orf62														0.001369384															0.003787506	0.005156891
CCBL2																0.005145037														0.005145037
CNN2																0.004790207									0.000352983					0.005143189
ARHGAP26																								0.004237288	0.000905477					0.005142766
TCEB1															0.005129222															0.005129222
GATA6									0.001815229			0.00330868																		0.005123909
GJC1									0.001528614					0.000279466	0.000627731										0.002685738					0.005121549
AADACL2														0.00012576					0.004990988											0.005116748
PARM1												0.002335539		0.000300426	0.000173452	0.002306396														0.005115813
TM2D2															0.001123308										0.003990239					0.005113547
DPPA4																0.000532245			0.004575073											0.005107318
DGKG																			0.004575073						0.000529474					0.005104547
HM13			0.003619709					0.001185704						0.000202613															7.38E-05	0.005081808
ZNF500								0.005081588																						0.005081588
LRP5L										0.00508044																				0.00508044
MGRN1									0.001910767					0.001425278											0.000951519				0.000787014	0.005074578
EEF1A1				0.00433889											0.000173452										0.000560168					0.00507251
SPARC									0.001337537	0.003725656																				0.005063193
LRRC14				0.004567253										7.69E-05															0.000418101	0.005062207
C6orf223		0.002444988							0.002197382					0.000314399															9.84E-05	0.005055146
EYS									0.003152766			0.001751654			0.000140413															0.005044834
RGS4		0.003531649													0.001255462														0.000245942	0.005033053
KIF1A			0.00458004											0.000447146																0.005027186
GLG1									0.002149613																				0.002877521	0.005027134
ALDH1A2			0.00502327																											0.00502327
LACTB2										0.004911092					0.000107375															0.005018467
C1orf116															0.000578173	0.004435377														0.00501355
HIF1AN																											0.005010737			0.005010737
INSL4																											0.005010737			0.005010737
KLRC4																											0.005010737			0.005010737
USH2A									0.000668769			0.002140911		4.89E-05	0.00020649				0.00194094											0.005006016
FAM175A		0.00407498												0.000579892															0.000344319	0.004999191
NEK7									0.00057323			0.004281822			0.000140413															0.004995465
RAB40C			0.004432297											0.000558932																0.004991229
D4S234E																			0.004990988											0.004990988
FAIM2																			0.004990988											0.004990988
C2orf88														0.000503039	0.001387616									0.003081664						0.004972319
RNF144A			0.00458004												0.00022301										0.000168818					0.004971867
LRP12									0.004967995																					0.004967995
CADM2									0.003343843					0.000342346	0.001271981															0.00495817
STK35									0.000668769			0.004281822																		0.00495059
LOC401052																		0.00493653												0.00493653
BACE1			0.004432297											0.000503039																0.004935336
CHST3									0.000525461			0.004281822			0.000115635															0.004922917
SPINK2										0.004911092																				0.004911092
FGB										0.004741744				0.00016768																0.004909424
LIMCH1														0.001676797	0.00322125															0.004898048
BZW2												0.004671078		0.000223573																0.004894651
CDK14									0.000716538							0.004169254														0.004885792
FBXL5															0.000297346			0.004583921												0.004881267
C21orf91				0.004110528											0.000495577														0.000270536	0.004876641
LPHN1			0.004875526																											0.004875526
RAB3D												0.004865707																		0.004865707
TMEM213															0.000148673				0.004713711											0.004862384
CASP2														0.000475093	0.00064425														0.003738318	0.00485766
TNPO1								0.004516967						0.000223573	0.000115635															0.004856174
BEND4				0.003653802										0.000111786															0.001082145	0.004847733
EXOC7														0.001397331	0.000619471														0.002828333	0.004845135
THAP1																0.004080546													0.00076242	0.004842967
UBE2D1														0.000223573		0.004612792														0.004836365
FGD6									0.001194229	0.00338696				4.19E-05											0.000199512					0.004822622
DNER											0.004653568			0.00016768																0.004821247
API5																													0.004820462	0.004820462
VAPB			0.004284553											0.000279466	0.000181712														7.38E-05	0.004819514
NR2C1																								0.0048151						0.0048151
PIK3C2B																								0.0048151						0.0048151
ZNF280B				0.004567253											0.000239529															0.004806782
ATP2C1								0.00406527						0.000733599																0.004798869
FLJ42280																0.004790207														0.004790207
ALG9									0.004776918																					0.004776918
DSG1				0.004567253										0.0002096																0.004776852
EXOSC10										0.004741744																				0.004741744
KHDC1L										0.004741744																				0.004741744
MRPL47										0.004741744																				0.004741744
FAM208A														0.000216586		0.003193471													0.001328087	0.004738144
CCDC85A															0.000156933				0.004575073											0.004732005
NOS2										0.004403048				0.000328373																0.004731421
SMU1										0.004064352															0.000659924					0.004724276
CPXM2				0.004567253											0.000156933															0.004724186
ARL13A																													0.004722086	0.004722086
PGAP2																													0.004722086	0.004722086
ATG9A																			0.004713711											0.004713711
MOB2			0.004432297											0.000279466																0.004711763
MFSD4																									0.000291594	0.004410143				0.004701738
KLRC1																		0.004701457												0.004701457
GP5																0.004612792									8.44E-05					0.004697201
MEFV		0.003531649																							0.000337636				0.000811608	0.004680893
ST8SIA2														0.000244533	0.000553394				0.00388188											0.004679807
STYX									0.000382153					5.59E-05										0.004237288						0.004675335
DGAT2												0.004671078																		0.004671078
SERPINA9												0.004671078																		0.004671078
CNPY1				0.004567253										9.08E-05																0.004658079
DHRS11																											0.004652827			0.004652827
PABPC4L																											0.004652827			0.004652827
PARD6G																			0.004297796						0.000345309					0.004643105
PCSK5																								0.004237288	0.000399024					0.004636312
MAP4			0.003989067											0.000153706	0.000107375										0.000383677					0.004633825
CRTAM										0.004064352				0.000118773											0.000445065					0.004628191
SLC30A7															0.000330385			0.002820874							0.001473319					0.004624578
GPR26				0.004110528										6.29E-05	0.00043776															0.004611167
MBD1									0.002149613																				0.00245942	0.004609033
RAP1GAP2			0.004284553												0.000313865															0.004598419
HAUS2																		0.003761166							0.000828742					0.004589908
CCDC42B		0.003531649																											0.00105755	0.004589199
IMPAD1															6.61E-05									0.004429892	9.21E-05					0.004588052
GABRE																		0.004583921												0.004583921
CD46															0.004030693										0.000552495					0.004583187
SLC25A35																								0.004237288					0.000344319	0.004581607
RAB1A			0.00458004																											0.00458004
DGKB															0.000578173									0.00385208	0.000145797					0.00457605
SLC41A3																													0.00457452	0.00457452
CKMT2										0.004572396																				0.004572396
TPPP			0.000738716						0.000859845					0.000398239		0.002572518														0.004569319
PTPRO															0.000330385			0.004231312												0.004561696
SAP30BP				0.00433889											0.00021475															0.00455364
FUT9									0.001671921						9.91E-05				0.002772771											0.004543808
TMCC1															0.000379942				0.004159157											0.004539099
HPSE			0.001772919																						0.002762473					0.004535392
KCNA6									0.001098691						9.91E-05				0.003327326											0.004525132
DMXL2																0.004524084														0.004524084
AKAP2															0.00064425			0.003878702												0.004522952
EDARADD														0.000433173				0.003996239							9.21E-05					0.004521494
PET117		0.00407498																											0.000442696	0.004517675
TTC28												0.004087193			0.000256048										0.000168818					0.004512059
ARHGDIA			0.003545837											0.000964158																0.004509996
FBXO32			0.003545837											0.00016768	0.000792923															0.00450644
CDYL																													0.004500738	0.004500738
RFX1												0.00447645																		0.00447645
SRSF2												0.00447645																		0.00447645
NOX4															0.000470798										0.001197072				0.002803738	0.004471608
DNAJC18			0.000812588									0.003114052													0.000191838				0.000344319	0.004462797
CXADR															0.000627731										0.001841649				0.00199213	0.00446151
POU3F2														4.89E-05	0.000115635												0.004294918			0.004459459
CFLAR									0.004012611																				0.000442696	0.004455307
NUAK1												0.004281822		0.000160693																0.004442515
NCEH1																			0.004436434											0.004436434
CUX1								0.003839422						0.000593866																0.004433288
GLYATL1			0.004432297																											0.004432297
PAX8			0.004432297																											0.004432297
IRS1																								0.004429892						0.004429892
RBBP5															0.00064425			0.002468265							0.001312175					0.00442469
CYB5A		0.00407498																											0.000344319	0.004419298
UBE2R2								0.002202021																		0.002205072				0.004407093
BCAS2										0.004403048																				0.004403048
PIGL										0.004403048																				0.004403048
PARD6B											0.004136505				0.000264308															0.004400812
PLCB1		0.00407498																											0.000319725	0.004394704
DUOX2			0.003324223													0.00106449														0.004388713
PPM1B																								0.00385208	9.21E-05				0.000442696	0.004386858
KCNAB1									0.003439381						0.000941596															0.004380977
ATP2B1												0.003892565		4.19E-05															0.000442696	0.004377181
COL19A1									0.00057323			0.003697937		0.0001048																0.004375967
KIAA1549									0.000955384							0.002128981									0.001289154					0.004373519
CDK17			0.003989067											0.000132746	0.000231269															0.004353083
C10orf25																		0.004348848												0.004348848
BCL2L14		0.004346645																												0.004346645
FAM13B			0.002216148													0.002128981														0.004345129
PPA2									0.003248304					0.000614826											0.000460412					0.004323542
LOXL3								0.003952346							0.000165192														0.000196754	0.004314292
CAPZA2														6.99E-05										0.004237288						0.004307155
HP1BP3			0.001108074												4.13E-05	0.002749933									0.000406697					0.004306003
ZNF493														0.001341438		0.00035483									0.000590862				0.002016724	0.004303854
CMTM3									0.004299226																					0.004299226
DAGLB																											0.004294918			0.004294918
SASS6																											0.004294918			0.004294918
CNKSR2									0.002006306					9.78E-05	0.000264308									0.00192604						0.004294466
GABRA2				0.004110528										0.000181653																0.004292181
SYT14														7.69E-05	9.91E-05			0.004113775												0.004289744
KIAA0754															0.000156933										0.000191838		0.003937008			0.004285779
ZNF26														0.00029344		0.003991839														0.004285278
IVD			0.003102608																						0.001181725					0.004284332
FAT3												0.004281822																		0.004281822
NSD1												0.004281822																		0.004281822
LIMS1														0.000796479	0.00302302										0.000460412					0.00427991
ACBD7															7.43E-05									0.003081664	0.001120336					0.004276337
PRKG1														0.000153706	0.000792923				0.003327326											0.004273955
BCL11B														0.000712639	0.000264308			0.00329102												0.004267967
MAGOHB															0.000239529				0.004020519											0.004260047
GOSR1									0.002436228						0.000322125										0.00149634					0.004254693
ACSL6															0.001387616										0.002854556					0.004242171
PRAMEF4																								0.004237288						0.004237288
CHST14										0.0042337																				0.0042337
DDX39A										0.0042337																				0.0042337
SIRT2																		0.004231312												0.004231312
PRKCA												0.004087193			0.000140413															0.004227607
KCNJ15															0.000495577	0.003725716														0.004221293
P2RY2			0.003989067											0.00023056																0.004219627
GNL1				0.004110528											0.000107375															0.004217903
CORIN										0.003556308															0.000659924					0.004216232
PIGX									0.002197382						0.00021475									0.001540832	0.0002609					0.004213865
HRASLS5			0.004210682																											0.004210682
NT5DC3									0.001385306						0.00022301	0.002395103									0.000207186					0.004210605
PSD2												0.002530167		0.00016768	7.43E-05			0.001410437												0.004182621
SPRED1									0.000477692					2.79E-05				0.00329102							0.000383677					0.004180335
ZNF716															0.000892039			0.002703338							0.000583189					0.004178565
PIK3R3			0.002954864											0.000628799	0.000594692															0.004178356
SAP18				0.003197077					0.000286615										0.000693193											0.004176885
LDHA								0.003387725																					0.000787014	0.004174739
CDKN2B		0.003803314							0.000286615						8.26E-05															0.004172526
ZNF587																									0.004159057					0.004159057
HELZ			0.003028736											5.59E-05	0.000768144										0.000283921					0.004136694
FAM171B											0.004136505																			0.004136505
PGAP1								0.001185704						0.000328373	0.000123894				0.002495494											0.004133465
DSEL															0.000173452									0.003466872	0.000491106					0.00413143
LMAN1																		0.004113775												0.004113775
PITPNM2																		0.004113775												0.004113775
SYNC															9.09E-05									0.00385208	0.000168818					0.004111754
KHNYN														0.000607839	0.000338644			0.002820874											0.000344319	0.004111677
C1orf192				0.004110528																										0.004110528
VEPH1														0.0002096				0.003878702												0.004088302
ELF5									0.002292921					0.000558932											0.001227766					0.004079619
NOL3		0.00407498																												0.00407498
TLE3														0.000607839		0.003459594														0.004067433
ANKS1B								0.00406527																						0.00406527
CD200										0.004064352																				0.004064352
LRRC73										0.004064352																				0.004064352
RAB27A										0.004064352																				0.004064352
MAGEB1									0.003296073						0.000768144															0.004064218
RCOR2				0.003882165										0.000181653																0.004063818
ZNF682									0.003248304																0.000813395					0.004061699
CERS3														0.000118773	0.000280827									0.003659476						0.004059076
ZNF37A									0.001862998																0.002186958					0.004049956
PRND															0.000140413	0.003903131														0.004043545
BRWD1									0.000382153					8.38E-05	0.000470798	0.001774151													0.001328087	0.004039029
FOXRED2			0.002659378																						0.00136589					0.004025268
CD302									0.002292921					0.0002096											0.00151936					0.004021881
POLR3D								0.003839422						0.000181653																0.004021075
EIF2C1																			0.004020519											0.004020519
SPATA4																			0.004020519											0.004020519
PTTG1IP										0.002370872																			0.001647811	0.004018683
FAM69A									0.004012611																					0.004012611
SBNO1									0.004012611																					0.004012611
TNK1									0.004012611																					0.004012611
TET1												0.003892565		0.000118773																0.004011338
HDAC6										0.003048264																			0.000959174	0.004007438
CNOT2																0.003991839														0.003991839
DMTF1																0.003991839														0.003991839
SUMF1																0.003991839														0.003991839
G3BP2			0.003989067																											0.003989067
NKPD1			0.003324223											0.000503039											0.000145797					0.003973059
TOX2															0.000231269														0.003738318	0.003969587
ORAI2									0.00171969					0.000223573	0.000396462										0.00162679					0.003966515
ASPRV1												0.003892565		6.99E-05																0.003962432
SOX21												0.003892565			6.61E-05															0.003958642
ROR1														0.0001048										0.00385208						0.00395688
CCNT2															0.000231269	0.002661226													0.00105755	0.003950046
KIAA2022			0.003324223						0.000620999																					0.003945222
TEX261															0.000198231				0.003743241											0.003941472
RNF182									0.002675074					0.000866345	0.000396462															0.003937881
ISY1-RAB43								0.002597256																					0.001328087	0.003925343
SFMBT2														0.000810452	0.000842481			0.002115656							0.000153471					0.003922059
GRM1														0.000363306	0.000181712										0.000306941				0.00304968	0.003901639
VAMP4																		0.003761166							0.000138124					0.00389929
RAB3B									0.001003153					0.000244533	4.13E-05			0.001880583							0.000728986					0.003898553
C10orf82										0.003895004																				0.003895004
PTPN14										0.003895004																				0.003895004
MMP11												0.003892565																		0.003892565
PSENEN												0.003892565																		0.003892565
CXorf21				0.003882165																										0.003882165
FBLIM1												0.003114052		0.000195626	0.000363423										0.000199512					0.003872614
SORCS2									0.00114646					0.0002096										0.002503852						0.003859912
GPR123								0.00271018	0.00114646																					0.00385664
LRRC46								0.003444187						0.000412213																0.0038564
NT5DC1																								0.00385208						0.00385208
RPL36A-HNRNPH2									0.00114646																				0.002705362	0.003851822
FGD4								0.001693863	0.000191077					0.000118773		0.001330613									0.000514127					0.003848452
LILRB1									0.002292921					0.000419199											0.001135683					0.003847803
MGAT5B			0.002437763											0.001404318																0.003842081
TMEM150A			0.003841324																											0.003841324
ZNF215														0.000139733														0.003696858		0.003836591
AAK1			0.000886459													0.002749933									0.000199512					0.003835905
SCAI			0.001920662						0.001910767																					0.003831429
CCNG2			0.002142277												0.000264308	0.001419321														0.003825905
SRSF1									0.001433075							0.001596736									0.000199512				0.000590261	0.003819584
UQCRB														0.000314399	0.001189385										0.001933731				0.000368913	0.003806429
ESRRG														0.001558024	0.002246616															0.00380464
CSH2		0.003803314																												0.003803314
COLGALT2				0.003653802											0.000140413															0.003794216
ZNF829									0.002961689																0.000828742					0.003790431
VSTM4															0.000115635										8.44E-05		0.003579098			0.003779142
TOMM34			0.003767452																											0.003767452
CANX																		0.003761166												0.003761166
PLEKHH1																		0.003761166												0.003761166
ZNF317																		0.003761166												0.003761166
DGCR14			0.001034203											0.000139733															0.002582391	0.003756326
DLL1																							0.003755365							0.003755365
VPS41									0.003248304					5.59E-05	0.000247788										0.000199512					0.003751498
ST6GALNAC3				0.002511989											9.91E-05	0.000887075									0.000253227					0.003751406
APOBEC3F																			0.003743241											0.003743241
TOR1AIP2			0.000738716															0.001880583							0.001120336					0.003739635
SRRT																													0.003738318	0.003738318
PSG2												0.003697937		3.49E-05																0.00373287
DGKI															0.000272567	0.003459594														0.003732161
CACNB2																									0.003729339					0.003729339
EVC										0.003725656																				0.003725656
NUFIP2												0.003503309		0.0001048	2.48E-05										9.21E-05					0.00372497
SLC8A1														0.000663732	0.003056058															0.00371979
PHEX												0.003697937																		0.003697937
ZNF417									0.001385306	0.001862828				0.00018864											0.0002609					0.003697674
AP4E1															0.000495577	0.003016056									0.000184165					0.003695798
SDHC																													0.003689129	0.003689129
TUB									0.003152766					0.000139733	0.000396462															0.003688961
SPECC1									0.002006306					0.000335359											0.001335195					0.00367686
RHO									0.000764307										0.00291141											0.003675717
IDH3G				0.002740352																									0.000934579	0.003674931
FBXL17												0.003503309		0.00016768																0.003670988
ADORA2B								0.003670036																						0.003670036
FGF2										0.001862828				0.000160693											0.000191838				0.001451058	0.003666417
AFF4			0.001551304											0.000544959	0.001569327															0.00366559
KIAA0141																		0.003526093							0.000138124					0.003664217
C3orf80														0.000195626										0.003466872						0.003662498
ATP10B																		0.00364363												0.00364363
BCAR3																		0.00364363												0.00364363
SCRG1														0.00016768					0.003465964											0.003633644
ZNF479										0.003556308				6.99E-05																0.003626175
