	Unnamed: 0	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
480	hsa-miR-3123			24.0					6.0	15.0	5.0	1.0	14.0		111	86	9.0		6.0	6.0	4.0				2.0	56.0		3.0		52.0
481	hsa-miR-3124-3p	4.0	1.0	3.0	5.0	3.0			33.0	20.0	1.0	2.0	8.0	2.0	102	107	17.0		19.0	30.0	2.0			1.0	1.0	22.0	4.0	2.0		38.0
482	hsa-miR-3124-5p			5.0					3.0		2.0				10	6										4.0				18.0
483	hsa-miR-3125		4.0	5.0	2.0			1.0	15.0	6.0	5.0		4.0	10.0	123	79	6.0		4.0	5.0		1.0	2.0			11.0		1.0		18.0
484	hsa-miR-3126-3p	6.0	2.0	12.0	1.0				14.0	9.0			7.0	3.0	73	70	2.0		3.0	2.0				2.0		23.0		4.0		25.0
485	hsa-miR-3126-5p		3.0	10.0	2.0				9.0	4.0		2.0	1.0		117	59	13.0		3.0	5.0			1.0		2.0	6.0		1.0		20.0
486	hsa-miR-3127-3p		1.0	1.0	2.0		1.0		8.0	5.0	5.0	1.0			89	50	11.0		1.0	2.0						15.0				7.0
487	hsa-miR-3127-5p		3.0	7.0	6.0	1.0	4.0		3.0	4.0			4.0		91	53	1.0					3.0			4.0	10.0	1.0	2.0	5.0	26.0
488	hsa-miR-3128	6.0	1.0	2.0					11.0	12.0	2.0				69	56			9.0	2.0				2.0	1.0	43.0		9.0		29.0
489	hsa-miR-3129-3p			9.0	2.0			1.0	11.0	11.0			1.0	1.0	105	73	7.0		9.0	3.0						21.0	4.0			6.0
490	hsa-miR-3129-5p	2.0	1.0	6.0		18.0		1.0	26.0	12.0	4.0	1.0	3.0	9.0	55	47	5.0		1.0	1.0			1.0		1.0	29.0				11.0
491	hsa-miR-3130-3p		4.0	4.0		1.0			3.0	10.0	3.0		3.0		75	39	6.0		1.0	1.0	2.0			1.0	3.0	132.0		1.0	5.0	18.0
492	hsa-miR-3130-5p		1.0	10.0					7.0	7.0			1.0	9.0	70	52			2.0	3.0						115.0			1.0	19.0
493	hsa-miR-3131		2.0	1.0	9.0			1.0		3.0	1.0		2.0		57	24			3.0	4.0					1.0	6.0			2.0	14.0
494	hsa-miR-3132			4.0					1.0	8.0			2.0		52	51	7.0		9.0	2.0					12.0	22.0				9.0
495	hsa-miR-3133		2.0	17.0	4.0			1.0	14.0	31.0	3.0	1.0	8.0		165	121	10.0	1.0	13.0	9.0	4.0		1.0	1.0	7.0	24.0		3.0		45.0
496	hsa-miR-3134	1.0	2.0	5.0	4.0				6.0	7.0	1.0	6.0	2.0	9.0	44	47	4.0	2.0	3.0	7.0	2.0	1.0			3.0	45.0	2.0	3.0	3.0	24.0
497	hsa-miR-3135a			4.0					3.0	12.0	3.0	2.0	1.0	3.0	35	33	5.0			4.0						44.0	1.0	5.0		4.0
498	hsa-miR-3135b		3.0	10.0	7.0				6.0	11.0	1.0		5.0	4.0	103	50	13.0		5.0	13.0		3.0		4.0	6.0	234.0		1.0		23.0
499	hsa-miR-3136-3p			9.0	1.0				9.0	6.0		1.0	1.0		87	44	9.0		4.0	2.0			1.0	1.0	1.0	19.0				31.0
500	hsa-miR-3136-5p	1.0	7.0		1.0			1.0	10.0	4.0	3.0		4.0	1.0	60	71	1.0			3.0			1.0	1.0	1.0	20.0	4.0			36.0
501	hsa-miR-3137		3.0	7.0	5.0				2.0	5.0	3.0		2.0	2.0	69	40	9.0				1.0			4.0	4.0	89.0				12.0
502	hsa-miR-3138		7.0	6.0	2.0				2.0	4.0	1.0	1.0	2.0		61	49	3.0		1.0	4.0				1.0	2.0	13.0			10.0	23.0
503	hsa-miR-3139	1.0	3.0	8.0				1.0	3.0	10.0	1.0		1.0	11.0	58	49	3.0		3.0	4.0	1.0			1.0		31.0		1.0		8.0
504	hsa-miR-3140-3p		1.0	7.0				1.0	18.0	16.0	1.0	2.0	5.0		68	69			6.0	2.0	1.0	1.0				30.0		3.0		32.0
505	hsa-miR-3140-5p		4.0	5.0	1.0				10.0	7.0	3.0	10.0	5.0		65	47	6.0		2.0	2.0						32.0				13.0
506	hsa-miR-3141		2.0			1.0	1.0		6.0	2.0	1.0	2.0			80	28	5.0		4.0	2.0			3.0		4.0	17.0				16.0
507	hsa-miR-3142		4.0	3.0	7.0				7.0	10.0	5.0	1.0	3.0	1.0	86	49	6.0			4.0			2.0		6.0	34.0			1.0	25.0
508	hsa-miR-3143	1.0	1.0	9.0	8.0				1.0	27.0	1.0		6.0		104	137	9.0		15.0	3.0	1.0				6.0	15.0	5.0	6.0	1.0	26.0
509	hsa-miR-3144-3p			2.0	1.0	2.0			2.0	6.0	2.0	1.0	1.0	19.0	47	104	2.0		4.0						1.0	25.0				15.0
510	hsa-miR-3144-5p		1.0	13.0			1.0		4.0	8.0	1.0	4.0	1.0		94	47	5.0		11.0	12.0		1.0	3.0		3.0	9.0			2.0	10.0
511	hsa-miR-3145-3p			12.0	1.0				17.0	16.0			12.0	6.0	119	168	3.0		3.0		1.0		2.0		6.0	20.0	4.0			40.0
512	hsa-miR-3145-5p		3.0	7.0			1.0		10.0	6.0	1.0	1.0			60	48	2.0		6.0	1.0					4.0	129.0	8.0			18.0
513	hsa-miR-3146			2.0	3.0				3.0	7.0	19.0		7.0		54	34	5.0		5.0	1.0			1.0		1.0	124.0			1.0	11.0
514	hsa-miR-3147		2.0	1.0	1.0				6.0	7.0	1.0		3.0		63	27	8.0		6.0	5.0			2.0		2.0	116.0				17.0
515	hsa-miR-3148			12.0	3.0				22.0	32.0	1.0	7.0	19.0	1.0	223	108	23.0		17.0	14.0					5.0	23.0				19.0
516	hsa-miR-3149	2.0		5.0		6.0			2.0	18.0	4.0	2.0	3.0	4.0	71	126	9.0		9.0	3.0					9.0	117.0				25.0
517	hsa-miR-3150a-3p	1.0	3.0	17.0			1.0		14.0	17.0	4.0	1.0	4.0	12.0	123	56	22.0		4.0	14.0	1.0	4.0	1.0		10.0	46.0			1.0	14.0
518	hsa-miR-3150a-5p	4.0	1.0	4.0					10.0	4.0	1.0				32	10	9.0		1.0						4.0	75.0		3.0		35.0
519	hsa-miR-3150b-3p		2.0	7.0	9.0		1.0	2.0	8.0	7.0	4.0		8.0	1.0	113	62	19.0		10.0	10.0					1.0	61.0		2.0		38.0
520	hsa-miR-3150b-5p	4.0	1.0	4.0					10.0	4.0	1.0				32	10	9.0		1.0						4.0	75.0		3.0		35.0
521	hsa-miR-3151		1.0	9.0					12.0	9.0	2.0	4.0	1.0	3.0	107	49	14.0	1.0	9.0	8.0	2.0	3.0		20.0	10.0	39.0		1.0	1.0	23.0
522	hsa-miR-3152-3p			5.0					20.0	26.0	4.0	2.0	1.0	3.0	41	33	5.0		2.0			1.0			3.0	62.0	2.0			17.0
523	hsa-miR-3152-5p		1.0	2.0		2.0		2.0	9.0	6.0	3.0	2.0		10.0	62	46			2.0	2.0		1.0				116.0				12.0
524	hsa-miR-3153		1.0	4.0	1.0			1.0	15.0	13.0	2.0	4.0	4.0		117	67	9.0		14.0	23.0			1.0	4.0	5.0	21.0		4.0		14.0
525	hsa-miR-3154		3.0	14.0	3.0	19.0	4.0		9.0	4.0	3.0	11.0	1.0	1.0	120	106	2.0	4.0	2.0	13.0		1.0	2.0		1.0	25.0	4.0	1.0		29.0
526	hsa-miR-3155a		2.0	11.0	3.0				9.0	3.0	2.0		1.0	2.0	88	47	3.0	1.0	7.0			4.0	2.0	1.0	2.0	193.0				31.0
527	hsa-miR-3155b		2.0	11.0	3.0				9.0	3.0	2.0		1.0	2.0	88	47	3.0	1.0	7.0			4.0	2.0	1.0	2.0	193.0				31.0
528	hsa-miR-3156-3p		7.0	14.0	1.0			2.0	4.0	14.0	7.0		2.0		63	80	5.0		2.0	5.0	1.0					174.0				21.0
529	hsa-miR-3156-5p		1.0	4.0	3.0			3.0	23.0	13.0			4.0		96	102	7.0		1.0	2.0		1.0			1.0	18.0			1.0	41.0
530	hsa-miR-3157-3p			11.0	1.0				9.0	11.0	3.0			10.0	93	37	4.0			1.0				2.0		33.0	4.0	7.0	1.0	6.0
531	hsa-miR-3157-5p		1.0	2.0					4.0	5.0	3.0		1.0	4.0	79	44	9.0			1.0		1.0				118.0		1.0		18.0
532	hsa-miR-3158-3p		1.0	3.0	1.0		4.0		1.0	3.0	1.0	3.0			70	52	2.0			3.0		1.0	4.0		2.0	7.0			5.0	29.0
533	hsa-miR-3158-5p			3.0	1.0				5.0	11.0	6.0		2.0	9.0	108	76	1.0		3.0	2.0	2.0	1.0	1.0			69.0		7.0	5.0	39.0
534	hsa-miR-3159		1.0	2.0					2.0	10.0		4.0			46	28	4.0	2.0	9.0	5.0	3.0			16.0	1.0	314.0		4.0		12.0
535	hsa-miR-3160-3p	1.0	3.0	8.0				1.0	1.0	4.0	2.0			9.0	61	77	7.0		7.0	4.0	1.0					34.0	4.0			30.0
536	hsa-miR-3160-5p		3.0	8.0	1.0				12.0	15.0	3.0		3.0		62	88	2.0		8.0	13.0	1.0				2.0	21.0	2.0	2.0		33.0
537	hsa-miR-3161	1.0	1.0	3.0	1.0				4.0	10.0	4.0		1.0	9.0	63	62	5.0		1.0	2.0				1.0		4.0	4.0	1.0		46.0
538	hsa-miR-3162-3p			6.0	4.0				10.0	1.0	4.0	3.0	5.0		32	51	1.0				1.0					21.0				13.0
539	hsa-miR-3162-5p	1.0	3.0	3.0	2.0		4.0	1.0	1.0	6.0		2.0	2.0		77	41	23.0		1.0	10.0	1.0		2.0		2.0	24.0	1.0	1.0		10.0
540	hsa-miR-3163	6.0		16.0				2.0	21.0	55.0	13.0	1.0	7.0		184	212	17.0		10.0	11.0	3.0				6.0	43.0	6.0		1.0	34.0
541	hsa-miR-3164		2.0	3.0	3.0				5.0	4.0	3.0				38	44			3.0	3.0			4.0			39.0		1.0		6.0
542	hsa-miR-3165		2.0	9.0	1.0	1.0			15.0	3.0	4.0		1.0		59	42	3.0	3.0	5.0	4.0		3.0		13.0	6.0	58.0				27.0
543	hsa-miR-3166		7.0	4.0	1.0	1.0			5.0	14.0	3.0	3.0		1.0	86	48			6.0							19.0		3.0	1.0	9.0
544	hsa-miR-3167	1.0	4.0	8.0	2.0			1.0	6.0	17.0			2.0		61	58	1.0		7.0	9.0	1.0			13.0	1.0	123.0	4.0		1.0	25.0
545	hsa-miR-3168		1.0	3.0					11.0	6.0	4.0				46	42	6.0		4.0	3.0				2.0	2.0	49.0		5.0		39.0
546	hsa-miR-3169		2.0	1.0	3.0		4.0		8.0	7.0	2.0			9.0	59	39	2.0		5.0	5.0	1.0				3.0	9.0		6.0		8.0
547	hsa-miR-3170	1.0	1.0	7.0	3.0				3.0	14.0	3.0	7.0	4.0	12.0	93	60	21.0		3.0	9.0	3.0	3.0	1.0	1.0	10.0	106.0		2.0		13.0
548	hsa-miR-3171	1.0	2.0	4.0	1.0				10.0	13.0	3.0	5.0	1.0	6.0	62	94	1.0		1.0	4.0						17.0				61.0
549	hsa-miR-3173-3p		2.0	9.0	4.0			1.0	12.0	15.0	3.0		9.0	11.0	138	92	17.0		7.0	11.0				2.0	5.0	56.0		1.0		23.0
550	hsa-miR-3173-5p	4.0		10.0	1.0				4.0	26.0	3.0			1.0	98	46	2.0	2.0		2.0					12.0	53.0	2.0	3.0	1.0	22.0
551	hsa-miR-3174			7.0	6.0	18.0	2.0		3.0	7.0		2.0			58	51			7.0	4.0			1.0			48.0		1.0	2.0	10.0
552	hsa-miR-3175		1.0	12.0			1.0		14.0	14.0	4.0	2.0	5.0	8.0	106	30	10.0		3.0	17.0		1.0			6.0	41.0		1.0	1.0	7.0
553	hsa-miR-3176			5.0		2.0			9.0	16.0			2.0	1.0	106	58	4.0		6.0	2.0				5.0	1.0	105.0				25.0
554	hsa-miR-3177-3p		2.0	2.0	2.0					1.0			1.0		47	43	4.0								2.0	17.0				23.0
555	hsa-miR-3177-5p	2.0	4.0	4.0	4.0				8.0	11.0	7.0		4.0	1.0	72	91	7.0		2.0	1.0	2.0				9.0	41.0				29.0
556	hsa-miR-3178			1.0					2.0	2.0	8.0			1.0	53	8	4.0		3.0						3.0	4.0				25.0
557	hsa-miR-3179		1.0	16.0		18.0	4.0		19.0	3.0	3.0	10.0	1.0		111	90	3.0	2.0	7.0	13.0		1.0	2.0		1.0	6.0	4.0	1.0		26.0
558	hsa-miR-3180			5.0					12.0	4.0	3.0	2.0		2.0	102	41	8.0		9.0	4.0				7.0	5.0	22.0		1.0		15.0
559	hsa-miR-3180-3p			5.0					12.0	4.0	3.0	2.0		2.0	102	41	8.0		9.0	4.0				7.0	5.0	22.0		1.0		15.0
560	hsa-miR-3180-5p		8.0	9.0	5.0				22.0	13.0	6.0	1.0	4.0		91	80	13.0		6.0	5.0	1.0			1.0	2.0	78.0		7.0		23.0
561	hsa-miR-3181		1.0	1.0					1.0	5.0					36	13	2.0		4.0				2.0			2.0				18.0
562	hsa-miR-3182		9.0	18.0	9.0				36.0	5.0			1.0	2.0	86	54	2.0		4.0	2.0				1.0	7.0	34.0	4.0	1.0	2.0	48.0
563	hsa-miR-3183		5.0	6.0	3.0	1.0			5.0	16.0	4.0	1.0		1.0	66	60	13.0			12.0			1.0		1.0	76.0		3.0	1.0	26.0
564	hsa-miR-3184-3p		2.0	2.0	3.0					13.0	1.0	1.0	1.0	2.0	61	39	2.0		3.0	6.0	4.0				1.0	50.0	4.0			19.0
565	hsa-miR-3184-5p		2.0	9.0	1.0		1.0		1.0	7.0	1.0		2.0		122	51	12.0		4.0	1.0		1.0	1.0		1.0	5.0		2.0		14.0
566	hsa-miR-3185		3.0	7.0	4.0	1.0			6.0	7.0	8.0		10.0	10.0	100	77	1.0	2.0	4.0	7.0			2.0	1.0		18.0	3.0	3.0		34.0
567	hsa-miR-3186-3p			6.0					3.0	2.0					11	5			8.0						2.0	106.0			2.0	12.0
568	hsa-miR-3186-5p		2.0		1.0				2.0	2.0	9.0			3.0	42	17	1.0		2.0		2.0				4.0	142.0				14.0
569	hsa-miR-3187-3p		6.0		5.0	2.0			5.0	6.0	8.0		2.0		81	38	3.0		5.0	1.0			2.0	1.0	1.0	163.0				18.0
570	hsa-miR-3187-5p	1.0	2.0	6.0	1.0				9.0	20.0		2.0	2.0		132	57	10.0		13.0	16.0					3.0	113.0	1.0			39.0
571	hsa-miR-3188	3.0	1.0	10.0	2.0				8.0	9.0	2.0	1.0		2.0	80	60	5.0		5.0	7.0		1.0				153.0		3.0		24.0
572	hsa-miR-3189-3p		5.0	7.0					3.0	6.0			1.0		85	52	5.0		2.0	2.0			2.0			67.0		4.0	1.0	14.0
573	hsa-miR-3189-5p		1.0	15.0					4.0	8.0		1.0			117	44	3.0		8.0	3.0	1.0					42.0	4.0	2.0	1.0	14.0
574	hsa-miR-3190-3p		5.0	5.0	3.0				1.0	5.0	5.0	1.0	4.0		51	52	6.0		3.0	9.0				1.0		33.0		1.0		19.0
575	hsa-miR-3190-5p	6.0	3.0	6.0	2.0	2.0			11.0	14.0	6.0		1.0		73	64	4.0		7.0	4.0			2.0	3.0	2.0	129.0		4.0		25.0
576	hsa-miR-3191-3p		2.0	3.0					6.0	11.0	1.0		2.0	8.0	73	44	6.0		9.0	14.0		1.0	1.0		4.0	18.0			2.0	10.0
577	hsa-miR-3191-5p	6.0	10.0	15.0	6.0		1.0		13.0	14.0	6.0		7.0	10.0	74	87	10.0		1.0	11.0		1.0	1.0	1.0	1.0	63.0		5.0	1.0	56.0
578	hsa-miR-3192	1.0	1.0	8.0	2.0		1.0		8.0	9.0		2.0	9.0	1.0	105	111	5.0		7.0	13.0	1.0				4.0	582.0				28.0
579	hsa-miR-3193		4.0	2.0	1.0				1.0	8.0	3.0			1.0	69	25	8.0			1.0					3.0	84.0		3.0		17.0
580	hsa-miR-3194-3p	6.0	6.0	8.0	6.0				10.0	5.0		1.0	1.0	10.0	63	57	5.0		4.0				1.0		2.0	35.0		10.0		32.0
581	hsa-miR-3194-5p		3.0	11.0					2.0	12.0	5.0	1.0		2.0	144	51	33.0	1.0		1.0			1.0	1.0	2.0	212.0		6.0		28.0
582	hsa-miR-3195			7.0						2.0				1.0	22	4								7.0		10.0				6.0
583	hsa-miR-3196			9.0	2.0				6.0	1.0	5.0	2.0	2.0		78	20	4.0		3.0	2.0				6.0	5.0	14.0				13.0
584	hsa-miR-3197		3.0	2.0	1.0				9.0	3.0	9.0		2.0	9.0	84	35	16.0		6.0	2.0		1.0		1.0	7.0	227.0	2.0			31.0
585	hsa-miR-3198			6.0	1.0	1.0	1.0		1.0	2.0	1.0		2.0		55	51	9.0		5.0	9.0					1.0	112.0				23.0
586	hsa-miR-3199		3.0	6.0	1.0				10.0	10.0	1.0		3.0		79	49	6.0		3.0	3.0			1.0	2.0	4.0	29.0		6.0		13.0
587	hsa-miR-32-3p	2.0		4.0	1.0				30.0	32.0	1.0	1.0	2.0		70	178	5.0		9.0						3.0	19.0	11.0			28.0
588	hsa-miR-32-5p	3.0	2.0	2.0					9.0	11.0	2.0	2.0	2.0		49	83	8.0		7.0							42.0				10.0
589	hsa-miR-3200-3p	4.0	3.0	3.0					7.0	3.0		3.0	1.0	1.0	64	40	2.0		2.0	3.0						41.0				16.0
590	hsa-miR-3200-5p			11.0	8.0				12.0	10.0	1.0		6.0	1.0	69	76	3.0		4.0	1.0	2.0				5.0	19.0		5.0		25.0
591	hsa-miR-3201			7.0	1.0				2.0	2.0	2.0				69	49			5.0	2.0	2.0				4.0	8.0			1.0	23.0
592	hsa-miR-3202		4.0	11.0	3.0		4.0		9.0	3.0	6.0	5.0	5.0		101	86	2.0	2.0	5.0	21.0		1.0	2.0			40.0	4.0	2.0		23.0
593	hsa-miR-320a		2.0	4.0				2.0	10.0	13.0	2.0		1.0		95	87	4.0		19.0	4.0	4.0			1.0	4.0	42.0	12.0	9.0		30.0
594	hsa-miR-320b		2.0	4.0				2.0	10.0	13.0	2.0		1.0		95	87	4.0		19.0	4.0	4.0			1.0	4.0	42.0	12.0	9.0		30.0
595	hsa-miR-320c		2.0	4.0				2.0	10.0	13.0	2.0		1.0		95	87	4.0		19.0	4.0	4.0			1.0	4.0	42.0	12.0	9.0		30.0
596	hsa-miR-320d		2.0	4.0				2.0	10.0	13.0	2.0		1.0		95	87	4.0		19.0	4.0	4.0			1.0	4.0	42.0	12.0	9.0		30.0
597	hsa-miR-320e			8.0				1.0	12.0	3.0	3.0	2.0		12.0	67	79	3.0		11.0	4.0				1.0		67.0	12.0	9.0		32.0
598	hsa-miR-323a-3p		1.0	12.0	2.0			4.0	12.0	23.0	2.0		1.0	1.0	76	98	7.0		10.0	1.0				1.0	8.0	44.0	4.0	4.0		32.0
599	hsa-miR-323a-5p		1.0	7.0					18.0	6.0	4.0		1.0	7.0	62	52	8.0	4.0	4.0	5.0		5.0		13.0	6.0	48.0				31.0
600	hsa-miR-323b-3p			8.0					12.0	14.0	8.0		2.0		50	60	2.0		8.0							15.0	1.0	7.0	1.0	17.0
601	hsa-miR-323b-5p			2.0					2.0	6.0			1.0		29	23	2.0		1.0	1.0						43.0				19.0
602	hsa-miR-324-3p		1.0	16.0					11.0	10.0				9.0	90	36	4.0		1.0	2.0				2.0	4.0	33.0		5.0	1.0	12.0
603	hsa-miR-324-5p		2.0	8.0					5.0	9.0	2.0				53	33	2.0		2.0					2.0	2.0	25.0	2.0			7.0
604	hsa-miR-325		1.0	5.0	1.0				4.0	2.0	3.0	1.0	7.0		23	33			6.0				1.0		2.0	104.0				1.0
605	hsa-miR-326	6.0	10.0	13.0	4.0		1.0		16.0	5.0	3.0	1.0	7.0	1.0	110	80	9.0		4.0	2.0				1.0	3.0	94.0		4.0		37.0
606	hsa-miR-328			6.0	1.0	2.0			14.0	5.0			2.0		87	56	4.0		7.0	1.0				1.0	1.0	70.0	2.0			18.0
607	hsa-miR-329		2.0	8.0	1.0	3.0			11.0	21.0	5.0		1.0		117	146	3.0		2.0	3.0			1.0	1.0	10.0	196.0		3.0		22.0
608	hsa-miR-330-3p	1.0	10.0	3.0	3.0			2.0	11.0	10.0	3.0		3.0	3.0	105	87	2.0		24.0	4.0			1.0		10.0	50.0		4.0		30.0
609	hsa-miR-330-5p	6.0	10.0	16.0	5.0		1.0		13.0	3.0	6.0		7.0	10.0	97	86	10.0		4.0	3.0		1.0		1.0	3.0	75.0		4.0	1.0	60.0
610	hsa-miR-331-3p			12.0					3.0	9.0	1.0	1.0	1.0		93	50	13.0	2.0	6.0	6.0				2.0	13.0	31.0				15.0
611	hsa-miR-331-5p								7.0	4.0	7.0		1.0	9.0	44	39	1.0		2.0						4.0	14.0	2.0			2.0
612	hsa-miR-335-3p	6.0	2.0	10.0				7.0	33.0	67.0	2.0	10.0	5.0	2.0	154	133	14.0	3.0	8.0	26.0	3.0	1.0		4.0	5.0	50.0	14.0	6.0	1.0	37.0
613	hsa-miR-335-5p		1.0	10.0	10.0	1.0			9.0	1.0		4.0	7.0		55	75	5.0		2.0	5.0		2.0		17.0	1.0	58.0				17.0
614	hsa-miR-337-3p		2.0	4.0	3.0				7.0	10.0	3.0		4.0		59	48	4.0		9.0	7.0	1.0					84.0		2.0		10.0
615	hsa-miR-337-5p			3.0						3.0		2.0	1.0		43	23	1.0			1.0	2.0					12.0				17.0
616	hsa-miR-338-3p		3.0	10.0			1.0		2.0	15.0	2.0		4.0	1.0	77	44	14.0		3.0	5.0			1.0	1.0	3.0	437.0	2.0	8.0		30.0
617	hsa-miR-338-5p	1.0		3.0					13.0	22.0	3.0		1.0	1.0	72	158	6.0		2.0						4.0	22.0	3.0			31.0
618	hsa-miR-339-3p			6.0					1.0		2.0		2.0		19	16	1.0									7.0				12.0
619	hsa-miR-339-5p	4.0		5.0	1.0	6.0			6.0	22.0	7.0		1.0		67	61	19.0	2.0		2.0	1.0				2.0	62.0		1.0	1.0	18.0
620	hsa-miR-33a-3p			4.0	3.0			1.0	16.0	8.0	1.0	2.0	9.0	1.0	88	78	8.0		5.0	1.0			1.0	1.0	3.0	34.0	3.0	1.0		42.0
621	hsa-miR-33a-5p		1.0	5.0	3.0		1.0		8.0	7.0			1.0	2.0	88	81	3.0		7.0	5.0	1.0	1.0			7.0	44.0				21.0
622	hsa-miR-33b-3p	6.0	1.0	4.0	6.0				8.0	4.0	1.0	1.0	1.0	4.0	68	53	5.0		3.0							48.0	1.0	1.0		25.0
623	hsa-miR-33b-5p		1.0	5.0	3.0		1.0		8.0	7.0			1.0	2.0	88	81	3.0		7.0	5.0	1.0	1.0			7.0	44.0				21.0
624	hsa-miR-340-3p		2.0		2.0					9.0			8.0		16	21			1.0		1.0					54.0				18.0
625	hsa-miR-340-5p	4.0	1.0	8.0	2.0				18.0	26.0	16.0	1.0	1.0		144	126	8.0		14.0	9.0				1.0	3.0	34.0	4.0		1.0	36.0
626	hsa-miR-342-3p	2.0	3.0	9.0	1.0			4.0	9.0	10.0	3.0	1.0	3.0		56	56	8.0		2.0				1.0		7.0	75.0	1.0	3.0		24.0
627	hsa-miR-342-5p		1.0	5.0	1.0				11.0	11.0	3.0	5.0			72	43	10.0	1.0	6.0	2.0		1.0	1.0	1.0	5.0	35.0		1.0		26.0
628	hsa-miR-345-3p		2.0	13.0					1.0	6.0	4.0				89	40	15.0		2.0	2.0				2.0	1.0	26.0				14.0
629	hsa-miR-345-5p		2.0	1.0				3.0		6.0	3.0	1.0		2.0	66	41	4.0			3.0			1.0	1.0	1.0	40.0				19.0
630	hsa-miR-346		2.0	10.0	4.0				12.0	5.0	4.0	1.0		9.0	83	41	2.0		1.0	1.0	1.0					44.0	2.0			21.0
631	hsa-miR-34a-3p		2.0	3.0	2.0				6.0	11.0	4.0	1.0		3.0	63	61	3.0		1.0	2.0	1.0	1.0				30.0				12.0
632	hsa-miR-34a-5p	6.0	1.0	8.0					5.0	5.0	5.0		3.0	1.0	72	63	6.0		3.0	2.0			1.0		2.0	122.0				25.0
633	hsa-miR-34b-3p		1.0	3.0	4.0				7.0	7.0				2.0	36	71			1.0	2.0		1.0				48.0	3.0	3.0	1.0	9.0
634	hsa-miR-34b-5p	6.0	1.0	11.0	3.0				9.0	8.0	3.0	3.0	4.0	2.0	81	70			5.0	7.0	2.0	1.0	1.0	2.0	3.0	151.0	7.0	4.0		10.0
635	hsa-miR-34c-3p		3.0	2.0	4.0				13.0	1.0			1.0		31	46										54.0	3.0	3.0	1.0	5.0
636	hsa-miR-34c-5p	6.0	2.0	15.0					11.0	10.0	4.0		6.0		98	65	3.0		5.0	3.0		1.0	1.0	1.0	2.0	217.0	7.0			10.0
637	hsa-miR-3529-3p			8.0	9.0				33.0	7.0	4.0		4.0	1.0	69	60	9.0			4.0				1.0	5.0	24.0	5.0			16.0
638	hsa-miR-3529-5p			5.0					6.0	9.0	1.0		2.0		34	39	1.0		3.0	3.0					4.0	23.0	5.0			7.0
639	hsa-miR-3545-3p	1.0		9.0	5.0					9.0	1.0		4.0		54	45	2.0		5.0	4.0	1.0				2.0	46.0		3.0		8.0
640	hsa-miR-3545-5p			7.0					1.0	3.0	4.0		1.0	7.0	49	39				1.0		2.0			1.0	49.0		1.0	1.0	13.0
641	hsa-miR-3591-3p		1.0	2.0	6.0				3.0	17.0	3.0	1.0	3.0		84	140	1.0		5.0	4.0				1.0	2.0	71.0		3.0	9.0	17.0
642	hsa-miR-3591-5p		1.0	4.0	2.0				10.0	11.0	3.0	3.0			53	43	2.0		2.0	4.0					1.0	93.0	4.0	1.0		11.0
643	hsa-miR-3605-3p		2.0	4.0						5.0	1.0		8.0		35	20	1.0			2.0					2.0	29.0				25.0
644	hsa-miR-3605-5p		1.0	1.0	4.0		1.0		2.0	11.0	3.0		2.0	1.0	101	56	5.0		3.0	9.0	1.0			6.0	1.0	30.0			2.0	25.0
645	hsa-miR-3606			8.0	3.0	18.0		2.0	9.0	4.0	2.0		1.0		62	60	3.0		9.0	1.0						20.0	2.0	2.0		11.0
646	hsa-miR-3607-3p			9.0					9.0	13.0	1.0		4.0	5.0	81	97	15.0		5.0	2.0	1.0				5.0	232.0	4.0			11.0
647	hsa-miR-3607-5p	1.0	1.0	5.0	4.0		3.0			6.0	2.0	4.0	1.0	3.0	110	66	13.0		2.0				1.0		2.0	31.0			1.0	34.0
648	hsa-miR-3609		3.0	8.0	4.0		2.0	3.0	24.0	10.0	5.0		4.0		99	128	8.0	4.0	4.0	5.0				1.0		268.0		5.0		34.0
649	hsa-miR-361-3p			7.0					3.0	13.0	2.0	1.0	2.0		156	78	12.0	2.0	5.0	8.0				2.0	7.0	50.0				13.0
650	hsa-miR-361-5p			4.0					8.0	12.0					65	66	10.0	2.0	3.0	2.0	5.0		2.0			4.0		2.0		22.0
651	hsa-miR-3610									4.0					12	1		2.0						4.0		14.0				13.0
652	hsa-miR-3611		3.0	6.0	7.0	2.0			7.0	11.0	1.0		1.0		62	68	4.0		3.0	1.0						20.0		4.0		20.0
653	hsa-miR-3612	3.0		15.0	1.0				18.0	8.0	1.0		2.0	20.0	119	90	18.0		9.0	4.0		1.0		1.0	3.0	292.0	5.0			36.0
